ID,ID_IN_BOOK,PROVERB,LANGUAGE,EXPLANATION (ORIGINAL LANGUAGE),EXPLANATION (ENGLISH),CATEGORY,
For identification,For tracability,The proverb in the targeted language/dialect,The targeted language/dialect,Explanation in targeted language (MSA for arabic dialects),Explanation in English (translation of the original explanation),Category of the proverb,
ZH_0001,A,哀兵必胜，骄兵必败,ZH,说明受压抑而反抗的部队，必然能打败敌人；骄傲的部队必定失败。比喻两者力量相当时，胜负常取决于双方各自的心态，要戒骄戒躁。,"An oppressed army that fights back will surely defeat its enemy, while an arrogant army is doomed to fail. When two sides are evenly matched, the outcome often depends on their respective mindsets — one must guard against pride and rashness.",Social Military Politics,
ZH_0002,A,矮子队里选将军,ZH,比喻都不够格，只能在差的人中间选择一个较好的。,"When none of the candidates are truly qualified, one can only pick the relatively better one from among a mediocre group.",Social Military Politics,
ZH_0003,A,矮子群里拔不出将军,ZH,比喻在不出众的人群中很难选出优秀者。,It is very hard to select an outstanding person from a group of unremarkable people.,Social Military Politics,
ZH_0004,A,爱跟英雄战，不爱跟狗熊斗,ZH,比喻愿意与英雄战斗，不想跟懦夫较量。,One would rather fight a hero than tangle with a coward.,Social Military Politics,
ZH_0005,A,爱将如宝，视卒如草,ZH,指古时候主帅像爱惜珍宝一样爱惜自己的将领，而对待士卒却像草一般轻视。,"In ancient times, a supreme commander would cherish his officers like precious treasures while treating common soldiers as worthless as grass. ",Social Military Politics,
ZH_0006,A,岸上修船易，到得江中彻底沉,ZH,比喻船坏了，如果在岸上很容易修好。到了水流和风速极大的江海中，就会完全沉没。说明问题要从根本上解决，不能只做表面文章。,"If a boat is damaged, it is easy to repair on shore. But once it reaches turbulent rivers and seas with strong currents and winds, it will sink completely. Problems must be solved at their root, not with superficial measures.",Social Military Politics,
ZH_0007,B,八月十五过大年,ZH,意思指有些地方的中秋节好比过年一般热闹喜庆。,"In some regions, the Mid-Autumn Festival is celebrated with as much festivity and joy as the New Year.",Social Military Politics,
ZH_0008,B,白日便见簸箕星,ZH,簸箕星即扫帚星。迷信的人认为扫帚星的出现意味着将会发生灾祸。所以带来灾祸的人被认为就是扫帚星。比喻偶然出现的一种利益冲突。,"The ""dustpan star"" refers to a comet. Superstitious people believed a comet's appearance foretold disaster, so anyone who brought calamity was called a ""comet."" This is used figuratively to describe an unexpected clash of interests.",Social Military Politics,
ZH_0009,B,百船出港，一船领头,ZH,意思是在很多人当中，总有一个人做领头羊。,"Among a large group of people, there is always one who steps up to lead.",Social Military Politics,
ZH_0010,B,百将易得，一帅难求,ZH,意思为很多平凡普通的将领容易得到，但那些具有优秀领导才能的高级统帅却很难求得。亦指出类拔萃的人才稀少。,"Ordinary generals are easy to find, but a truly outstanding supreme commander with exceptional leadership ability is extremely hard to come by. This also means that truly exceptional talent is rare.",Social Military Politics,
ZH_0011,B,百里不同风，千里不同俗,ZH,俗是指风俗习惯。距离大约几百里，民风就大不一样；相隔干里左右，习俗就有很大差别。指各地的民风习俗差别很大。,"""Su"" refers to customs and habits. Within a few hundred li, local customs already differ greatly; across a thousand li, traditions vary enormously. Local customs and practices differ vastly from place to place.",Social Military Politics,
ZH_0012,B,百密未免一疏,ZH,意思是筹划得再周密，也免不了会有疏漏。,"No matter how carefully one plans, there will inevitably be some oversight.",Social Military Politics,
ZH_0013,B,百年寿限不准有，百年计划不能无,ZH,指人虽然不一定能够长命百岁。但不能没有长远的计划,"A person may not necessarily live to be a hundred years old, but one must not be without long-term plans.",Social Military Politics,
ZH_0014,B,百人吃百味，百里不司风,ZH,指每人有每人的口味，每个地方也有每个地方不同的风俗习惯。,"Every person has their own taste, and every place has its own distinct customs and habits.",Social Military Politics,
ZH_0015,B,百星之明，不如一月之光,ZH,兀百颗星星的亮度也不能和一轮明月的光辉相比。比喻再多的普通人也不如一个核心人物的作用大。,"The brightness of a hundred stars cannot compare with the radiance of a single moon. No matter how many ordinary people there are, they cannot match the influence of one key figure.",Social Military Politics,
ZH_0016,B,百战百胜，不如不战,ZH,即使胜仗连连，也不如不打仗好。,Even an unbroken string of victories is not as good as not having to fight at all.,Social Military Politics,
ZH_0017,B,百战成勇士，苦练出精兵,ZH,意思是多次战斗就能磨炼出勇猛的士兵，艰苦的训练就能培养出精锐的队伍。,"Numerous battles forge brave warriors, and rigorous training produces elite troops.",Social Military Politics,
ZH_0018,B,败兵之将，不敢言勇,ZH,比喻吃了败仗的将领，不敢对他人讲自己的勇敢。多指人受到挫折以后，容易失去自信。,A general who has suffered defeat dares not speak of his own bravery to others. This often refers to the way people tend to lose confidence after experiencing setbacks.,Social Military Politics,
ZH_0019,B,败将不提当年勇,ZH,指打了败仗的人没有资格再去炫耀过去的英雄事迹。,One who has lost a battle has no right to boast about past heroic deeds.,Social Military Politics,
ZH_0020,B,败军之将，不足与图存,ZH,意谓打了败仗的将领，不值得与他共同策划天下存亡的大计。,A general who has lost his battle is not worth consulting on matters of national survival and grand strategy.,Social Military Politics,
ZH_0021,B,搬起石头打自己的脚,ZH,比喻想坑害他人，结果自己却因此吃了苦果。,One who schemes to harm others ends up suffering the bitter consequences oneself.,Social Military Politics,
ZH_0022,B,半部《论语》可以治天下,ZH,古时推崇《论语》，认为只要运用《论语》的一半思想就能够治理好社会。,"In ancient times, the Analerta was so revered that people believed applying just half of its wisdom was enough to govern society well.",Social Military Politics,
ZH_0023,B,伴君如伴虎,ZH,陪伴君王好比陪伴老虎，随时都会招来杀身之祸。指古时君王喜怒无常。,Serving a ruler is like keeping company with a tiger — one may face mortal danger at any moment. This refers to the unpredictable temperament of ancient monarchs.,Social Military Politics,
ZH_0024,B,帮腔上不去台,ZH,比喻在暗中相助的人不能露面。,A person who helps from behind the scenes cannot step into the open.,Social Military Politics,
ZH_0025,B,绑鸡的绳子，捆不住大象,ZH,指制伏弱者的手段，不能用于制伏强者。,Methods used to subdue the weak cannot be used to subdue the strong.,Social Military Politics,
ZH_0026,B,宝剑必付烈士，奇方必须良医,ZH,烈士：有志于有所建树的人。指宝剑应该给予有志之士使用，有特殊功效的药方应该出自良医之手。,"""Lieshi"" refers to a person with ambition and aspirations. A fine sword should be given to an ambitious and worthy person, and a rare medicinal formula should come from the hands of a skilled physician.",Social Military Politics,
ZH_0027,B,保国莫如安民，安民莫如择交,ZH,指两国建立友好的邦交关系才能安民，安民才能保国。,"Only by establishing friendly diplomatic relations between nations can the people enjoy stability, and only when the people are stable can the nation be protected.",Social Military Politics,
ZH_0028,B,备而未战，不是无战；战而无备，必有大患,ZH,指做好准备却没有打仗，并不意味着没有战事；要打仗而准备不充分，就会导致大的灾难。,Being prepared yet not fighting does not mean there will be no war; going to war without adequate preparation will certainly lead to great disaster.,Social Military Politics,
ZH_0029,B,本地姜不辣,ZH,比喻土生土长的人或物经常受当地人歧视。,Locally grown people or products are often looked down upon by the locals themselves.,Social Military Politics,
ZH_0030,B,本钱易寻，伙计难讨,ZH,指集资容易，但合适的帮手却很难找到。,"Raising capital is easy, but finding a suitable and reliable partner is hard.",Social Military Politics,
ZH_0031,B,笨鸭子上不了架,ZH,比喻本事不大的人不可能做成大事。,A person of limited ability cannot accomplish great things.,Social Military Politics,
ZH_0032,B,宫逼民反民自反，君正臣廉民自安,ZH,古时认为官府腐败，就会逼得老百姓联合起来反抗；君臣清廉，老百姓自然会安居乐业。,"In ancient times, when officials were corrupt, the common people would be driven to unite in rebellion; when the ruler was upright and his ministers honest, the people would naturally live and work in peace and contentment.",Social Military Politics,
ZH_0033,B,笔头尖上文官业，刀剑撑持武将威,ZH,意思为文职官员通过文章展示自己的才能，武将通过武艺树立自己的威信。,"Civil officials demonstrate their talent through writing, while military generals establish their authority through martial prowess.",Social Military Politics,
